Part Description	Number	Manufacturer	MPN / Details
UX4 tube sockets	4	(various)	sub-chassis mount
Noval tube sockets	4	(various)	PCB mount
Stepped attenuator	1	Goldpoint	 4 channels, 10\,k\Ohm\ per channel, 47 positions
Volume knob	1	Custom made	59\,mm diameter, for 6\,mm shaft
Heatsinks 300$\times$100$\times$40\	mm	2	Fischer	SK 56 100 SA
Amplifier front panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_front.fpd}
Amplifier top panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_top.fpd}
Amplifier rear panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_rear.fpd}
Amplifier bottom panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_bottom.fpd}
Amplifier DHT subchassis panel	1	Front Panel Express	file {\tt OSDEHA\_AMP\_subchassis.fpd}
Power supply front panel	1	Front Panel Express	
Power supply top panel	1	Front Panel Express	
Power supply rear panel	1	Front Panel Express	
Power supply bottom panel	1	Front Panel Express	
Power supply side panels	2	Front Panel Express	
Chassis panel joints		n/a	10$\times$10\	mm aluminium rods
Chassis feet	8	(various)	
IEC mains inlet	1	Schurter	KM01.1205.11
IEC mains inlet fuse holder	1	Schurter	4301.1401
Power supply outlet socket (HV)	1	Amphenol	MS3102E18-8S
Amplifier power socket (HV)	1	Amphenol	MS3102E18-8P
Umbilical connector (HV/PSU)	1	Amphenol	MS3106E18-8P
Umbilical connector (HV/AMP)	1	Amphenol	MS3106E18-8S
Power supply outlet socket (F+H)	1	Amphenol	MS3102E18-12S
Amplifier power socket (F+H)	1	Amphenol	MS3102E18-12P
Umbilical connector (F+H/PSU)	1	Amphenol	MS3106E18-12P
Umbilical connector (F+H/AMP)	1	Amphenol	MS3106E18-12S
Umbilical wires	2	Lapp	301606S
Standoffs (PCBs)		Keystone	24400 (or similar 5\,mm / M3 full-metal part)
Standoffs (sub chassis)		Würth	970300474 (or similar 30\,mm / M4 full metal part)
Test sockets for DHT filaments	8	Alltech	975455700

